FullName,LaunchDate,ShortName,Base,MPA,SFP,QSFP,10GBASET,CFP,InHouseAsic,CommercialAsic,CPUType,Prompt,PSUNumber,SSDEUSB,ProductNumber,MUX,Retimer,Memory,NIC,Slot,BootImage,EndOfLife
ALTA,01/01/2016,ALTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,diag-lc-arm,N/A
ANTWERP,01/01/2016,ATWP,Y,N,16,18(TD2)+6(DONNER),NA,NA,TIB x 1  DONNER x 1,TD2 x 1,UCS-FI-6332-16UP,ATWP,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
Apache,01/01/2016,APCH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TD2 x 2,N/A,APCH,N/A,N/A,N9K-X9408PC-CFP2,N,N,N/A,N/A,N/A,diag-lc-arm,N/A
BELLEVUE,01/01/2016,BLVU,Y,N,3,56(40G)+8(100G),NA,NA,LACROSS x 1,NA,N9K-C92304QC,BLVU,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
BODDINGTONS,09/19/2017,BDTN,Y,N,48,6x40/100G,NA,NA,NA,Tofino,CHIMAY,BDTN,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
Berlin,01/01/2016,BRLN,Y,N,1,6,48,1,TD2+ x1,N/A,N3K-C31108TC-V,BRLN,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
Bifrost,02/23/2017,BFST,Y,N,48,6x100G,N/A,NA,NA,Jericho+,BifrostCPU,BFST,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
Blackcomb,01/01/2016,BLAC,N/A,N/A,48,4,N/A,N/A,NORTHSTAR x 2,TD2 x 2,N/A,BLCM,N/A,N/A,N9K-X9564PX,Y,N,N/A,N/A,N/A,diag-lc-arm,N/A
BlueWood,01/01/2016,BLWD,N/A,N/A,N/A,100Gx36,N/A,N/A,HOMEWOODx4,N/A,N/A,BLWD,N/A,N/A,N9K-X9736C-FX,N,N,N/A,N/A,N/A,diag-lc-atom,N/A
Brewdog,04/20/2018,BDOG,Y,N,48 x 50GE SFP56,6x 400GE DD,1,NA,NA,JERICHO2,PLINY_BD,BDOG,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-tor2-x86_64,N/A
CALGARY,01/01/2016,CAGA,Y,N,NA,32,NA,NA,DONNER x 1,TD2 x 1,NA,CALG,2,SSD,N/A,N/A,N/A,N/A,N/A,N/A,diag-sup-x86_64,N/A
